M6-1	M6-2-add	M6-3-add	N2-1	N2-2	N2-3
WBGene00000001	6.94098887941757	6.91090329652313	6.92544539481378	7.0191660471319	6.873470705192	6.64361811309763
WBGene00000002	3.98887200004781	3.55738147644824	3.89212108387391	2.55986938190406	2.82897480253458	3.84692313460816
WBGene00000003	3.2315187648826	3.28914045215848	2.99357532773719	3.29042889067008	3.11990281869903	2.97348393467662
WBGene00000004	5.86987357873107	5.75673681671614	5.45023063618502	4.01956781420354	3.88147143466759	4.92364187654734
WBGene00000005	3.88947013517069	3.70992186897536	3.4025857990792	3.67051846126544	4.00282752739072	3.70452325151312
WBGene00000006	3.38611663877564	2.04519048068788	2.6564044969812	3.18804859129814	3.45884003786023	3.04386319501985
WBGene00000007	3.71862071593012	3.76897613553862	3.5463055910379	3.24014672281112	3.41085438282566	3.4752009800605
WBGene00000008	-0.251238339752338	0.0394965123393998	0.483502597203671	-2.91770650451818	-0.231495398990135	-0.644979996752925
WBGene00000010	5.40942125266035	5.50540713590475	5.63847647293439	5.01963807573896	5.2137447302728	5.0875764676216
WBGene00000013	4.64867299279197	4.30470427302526	4.00858147784991	4.58053394894017	4.3671014331824	4.71276729770066
WBGene00000016	0.255916019334963	0.720418210713921	0.563682740350481	2.00713266415686	2.0816797479293	1.94543597729699
WBGene00000017	1.47857218714836	1.09072306697869	0.964893869673187	2.45795908579868	2.60774195954764	2.95246439523336
WBGene00000018	5.59819206135016	5.41845955892795	5.36790940622324	5.11612829822676	4.74924151083222	5.26596007408564
WBGene00000019	1.80511307036357	1.42268176302301	1.88455498184866	2.77292065745691	2.503813280022	2.17665934069671
WBGene00000020	4.45085580613043	4.20048526443666	4.63328158390759	5.03885583906644	4.6124399915197	4.60330966162753
WBGene00000021	0.516054996591558	-0.410731286928583	-0.38602388719217	0.273938896385833	0.438656338478484	1.14883377909888
WBGene00000022	5.71624550459062	5.57089073004863	5.83691079368547	5.72793746986315	5.53476888935269	5.11471257861072
