	Heart	Liver	Ovary	Testis	lung	Adrenal	Gallbladder	Pancreas	Kidney	esophagus	colon	Rectum	urinary_bladder	prostate	placenta
PLK1	11.89	0	0	14.12	0	0	0	0	0	0	18.5	0	0	0	0
ECHS1	7939.5	19756.46	2535.21	3132.87	1738.82	4015.25	3448.16	3135.88	19124.13	3461.43	3540.23	3141	1790.18	2424.34	3541.89
COX7A2L	772.14	584.31	296.84	764.2	443.72	391.77	206.73	827.51	793.04	0	700.66	482.41	524.01	555.57	314.73
ART3	369.61	0	809.91	460.91	0	0	0	0	0	0	0	0	0	0	0
RECK	0	0	105.52	18.11	13.15	0	110.24	42.03	0	0	23.72	34.3	15.52	18.81	0
DIAPH1	28.71	567.12	344.4	272.81	257.41	113.64	46.13	295.42	26.54	136.37	80.4	120.55	23.38	70.83	112.36
DGCR8	0	0	0	0	0	43.08	0	0	14.53	0	0	0	0	0	0
TRMT5	13.94	15.82	0	49.65	0	0	0	76.81	0	0	21.68	0	0	0	0
PPP2CB	45.63	51.8	78.94	162.59	157.35	34.73	73.31	251.52	35.15	147.77	141.98	34.21	162.59	112.58	55.8
DCN	4492.86	1831.33	16651.73	10477.84	15843.37	6434.7	16567.08	16546.23	3806.9	19971.34	15947.71	20577.76	20040.62	14912.4	9739.29
PFKM	6689.43	151.43	2011.14	1788.12	328.56	1363.44	872.53	822.83	954.22	1954.27	1334.1	1157.35	1377.44	1316.42	139.83
EPM2AIP1	92.28	52.37	478.92	273.99	39.77	105.35	37.06	254.31	124.39	0	143.55	69.18	117.42	227.65	0
DHX15	44.63	557.29	1523.65	1516.03	523.24	625.03	344.15	1328.4	261.29	231.25	638.76	455.08	218.09	627.6	742.26
ANKRD63	20.49	0	0	73	105.96	124.74	65.82	0	31.56	0	63.74	30.72	20.86	50.54	0
C10orf32	0	0	0	83.37	0	0	112.76	386.88	0	0	0	0	0	346.32	0
PFDN1	285.61	64.84	197.64	135.68	196.96	173.9	458.81	629.68	176.01	123.32	177.72	171.3	58.15	422.75	0
CACNB1	0	0	0	0	0	0	0	22.69	0	0	0	0	0	0	0
CENPP	0	0	28.23	29.07	0	37.25	0	0	0	0	0	0	0	0	0
PRSS1	152.82	451.02	141	36.3	210.77	46.52	687.37	28020.13	282.52	0	142.63	504.12	248.9	263.9	1121.23
AHCYL1	13.77	109.41	635.2	719.54	118.69	0	199.07	1011.89	530.32	118.9	556.91	516.16	182.22	390.63	235.72
BCAN	8.19	0	0	0	0	12.47	0	0	0	0	0	0	0	0	0
CARKD	443.85	327.48	1126.16	1686.85	267.82	912.07	356.5	897	1094.07	47.91	863.06	632.25	451.83	793.84	325.65
PRMT5	178.68	139.44	721.26	689.69	115.52	407.98	107.64	553.97	154.84	192.87	312.7	284.67	193.26	371.92	27.31
NDUFAB1	2423.45	423.21	0	221.4	0	70.94	0	342.49	717.99	503.05	217.49	489.17	142.33	229.94	341.94
TMOD3	246.01	395.6	378.29	584.34	989.59	280.84	493.98	1883.19	1042.23	708.1	924.82	829.96	479.98	1137.9	1002.74
PPT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGAPB	14.6	27.62	117.86	121.37	0	81.48	7.82	53.64	14.99	21.01	15.14	14.59	0	18.01	11.9
HRNR	623.76	6.53	832.09	368.69	1090.22	787.56	346.31	95.06	358.7	12.41	742.26	1349.05	684.71	936.02	7.03
CABIN1	0	0	3.8	11.74	0	5.02	0	6.05	0	0	0	0	0	4.06	0
STEAP4	109.31	319.06	342.18	500.74	269.21	974.54	200.68	459.03	144.34	67.42	72.87	70.24	127.17	154.09	38.19
PPIP5K1	0	0	0	30.22	0	0	0	18.7	0	0	0	7.63	0	0	0
TNNT1	3104.18	0	0	0	0	0	0	0	0	1648.72	0	0	0	0	0
NDUFS2	4727.01	981.96	783.89	954.02	532.64	728.93	248.15	510.86	2594.04	466.88	720.91	787.54	597.56	419.19	717.81
RAB1A	1431.73	2478.39	4623.36	3103.2	4072.66	4794.47	2127.43	6773.25	4466.53	2549.9	2171.49	1610.09	1712.5	1942.58	14356.09
C11orf73	150.12	127.81	259.7	133.72	129.41	0	60.29	137.9	0	243.06	175.15	225.1	191.03	277.76	367.15
