	Heart	Liver	Ovary	Testis	lung	Adrenal	Gallbladder	Pancreas	Kidney	esophagus	colon	Rectum	urinary_bladder	prostate	placenta
PLK1	2.49	0	0	2.86	0	0	0	0	0	0	3.86	0	0	0	0
ECHS1	1661.34	3677.88	507.46	634.18	354.22	793.79	734.6	593.99	3211.25	681.26	737.8	676.11	397.53	506.46	557.88
COX7A2L	161.57	108.78	59.42	154.69	90.39	77.45	44.04	156.74	133.16	0	146.02	103.84	116.36	116.06	49.57
ART3	77.34	0	162.12	93.3	0	0	0	0	0	0	0	0	0	0	0
RECK	0	0	21.12	3.67	2.68	0	23.49	7.96	0	0	4.94	7.38	3.45	3.93	0
DIAPH1	6.01	105.58	68.94	55.22	52.44	22.47	9.83	55.96	4.46	26.84	16.76	25.95	5.19	14.8	17.7
DGCR8	0	0	0	0	0	8.52	0	0	2.44	0	0	0	0	0	0
TRMT5	2.92	2.94	0	10.05	0	0	0	14.55	0	0	4.52	0	0	0	0
PPP2CB	9.55	9.64	15.8	32.91	32.05	6.87	15.62	47.64	5.9	29.08	29.59	7.36	36.1	23.52	8.79
DCN	940.13	340.92	3333.1	2121	3227.47	1272.11	3529.47	3134.13	639.24	3930.66	3323.58	4429.43	4450.21	3115.28	1534.01
PFKM	1399.76	28.19	402.56	361.96	66.93	269.55	185.89	155.86	160.23	384.63	278.03	249.12	305.87	275.01	22.02
EPM2AIP1	19.31	9.75	95.86	55.46	8.1	20.83	7.9	48.17	20.89	0	29.92	14.89	26.07	47.56	0
DHX15	9.34	103.75	304.98	306.89	106.59	123.56	73.32	251.62	43.87	45.51	133.12	97.96	48.43	131.11	116.91
ANKRD63	4.29	0	0	14.78	21.59	24.66	14.02	0	5.3	0	13.28	6.61	4.63	10.56	0
C10orf32	0	0	0	16.88	0	0	24.02	73.28	0	0	0	0	0	72.35	0
PFDN1	59.76	12.07	39.56	27.47	40.12	34.38	97.75	119.27	29.55	24.27	37.04	36.87	12.91	88.32	0
CACNB1	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0
CENPP	0	0	5.65	5.88	0	7.37	0	0	0	0	0	0	0	0	0
PRSS1	31.98	83.96	28.22	7.35	42.94	9.2	146.44	5307.47	47.44	0	29.73	108.51	55.27	55.13	176.6
AHCYL1	2.88	20.37	127.15	145.65	24.18	0	42.41	191.67	89.05	23.4	116.06	111.1	40.46	81.6	37.13
BCAN	1.71	0	0	0	0	2.46	0	0	0	0	0	0	0	0	0
CARKD	92.88	60.96	225.42	341.46	54.56	180.31	75.95	169.91	183.71	9.43	179.87	136.09	100.33	165.84	51.29
PRMT5	37.39	25.96	144.37	139.61	23.53	80.65	22.93	104.93	26	37.96	65.17	61.28	42.92	77.7	4.3
NDUFAB1	507.11	78.79	0	44.82	0	14.02	0	64.87	120.56	99.01	45.33	105.29	31.6	48.04	53.86
TMOD3	51.48	73.64	75.72	118.29	201.59	55.52	105.24	356.71	175.01	139.36	192.74	178.65	106.58	237.71	157.94
PPT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGAPB	3.05	5.14	23.59	24.57	0	16.11	1.67	10.16	2.52	4.14	3.16	3.14	0	3.76	1.87
HRNR	130.52	1.21	166.55	74.63	222.09	155.7	73.78	18.01	60.23	2.44	154.69	290.39	152.05	195.54	1.11
CABIN1	0	0	0.76	2.38	0	0.99	0	1.15	0	0	0	0	0	0.85	0
STEAP4	22.87	59.4	68.49	101.36	54.84	192.66	42.75	86.95	24.24	13.27	15.19	15.12	28.24	32.19	6.02
PPIP5K1	0	0	0	6.12	0	0	0	3.54	0	0	0	1.64	0	0	0
TNNT1	649.55	0	0	0	0	0	0	0	0	324.49	0	0	0	0	0
NDUFS2	989.12	182.8	156.91	193.12	108.5	144.11	52.87	96.76	435.58	91.89	150.24	169.52	132.69	87.57	113.06
RAB1A	299.59	461.38	925.44	628.17	829.65	947.84	453.23	1282.97	750	501.86	452.55	346.58	380.28	405.81	2261.2
C11orf73	31.41	23.79	51.98	27.07	26.36	0	12.84	26.12	0	47.84	36.5	48.45	42.42	58.02	57.83
NDUFV1	1494.06	205.9	206.5	195.85	72.93	124.97	54.67	122.29	433.87	203.6	191.6	252.62	173.32	152.29	123.06
WDR82	0	19.56	112.18	178.02	16.25	13.93	23.76	56.37	35.92	19.66	97.52	67.22	36.61	113.29	35.65
CEND1	0	0	0	0	0	49	0	0	0	0	35.19	52.56	24.54	111.9	0
NDUFA9	1718.09	225.96	180.73	197.4	107.3	304.54	26.14	112.96	558.17	543.57	278.57	209.54	164.02	137.77	367.77
CYP2S1	0	0	0	0	15.32	0	9.95	5.06	0	12.36	28.29	32.86	0	0	0
UPF1	12.29	60.7	209.47	202.45	45.85	86.43	40.21	90.87	6.75	19.42	57.14	80.06	50.17	89.15	50.29
IGFALS	2.57	2.6	34.05	26.6	12.95	0	0	0	0	5.22	7.97	0	13.89	22.17	0
NAMPT	229.44	1106.01	266.63	298.76	205.38	439.95	175.12	279.83	102.11	347.86	113.75	127.41	185.07	275.01	61.95
MRPL27	10.57	42.69	23.32	24.28	0	45.59	0	52.72	0	0	16.37	48.9	0	0	0
IGKV1-5	13.3	0	14.68	30.57	44.65	38.26	108.79	0	49.34	54.02	20.61	41.04	143.71	147.43	0
FAM13B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR3F	4.76	4.81	0	21.88	0	13.69	0	7.92	0	0	7.37	0	0	0	0
NDC80	0	0	5.07	7.92	0	0	0	0	0	0	0	0	2.48	0	0
AWAT1	0	9.09	0	0	0	6.47	7.36	0	0	0	6.97	6.94	4.86	11.08	0
HIST1H1C	596.25	915.24	2771.51	1982.07	1414.35	0	754.13	1401.47	648.67	548.84	1305.6	1949.74	455.18	1204.15	1770.85
ACAA1	115.04	778.4	181.92	299.6	83.67	187.5	62.72	76.53	658.98	23.36	65.35	94.64	82.85	174.73	91.77
PCDH1	2.96	2.99	1.63	0	17.39	0	4.84	19.69	0	0	16.05	4.57	3.2	9.11	8.18
BCL10	0	0	7.14	0	0	0	0	10.76	0	0	0	0	0	0	0
IBTK	1.13	0	0	0	1.89	0	0	3.75	0	2.29	0	0	0	0	0
PKD1	0.37	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.68
