ID	agmatine
110	0.004327602
111	0.003260001
112	0.003854583
103	0.003738946
102	0.007319353
101	0.006397577
121	NA
122	0.002503609
124	0.002522769
125	0.00194959
90	0.002846397
92	NA
120	0.002764779
119	0.006426248
1	0.002512001
3	0.002201299
137	0.001803686
26	NA
127	0.004863623
136	0.002737494
152	0.003301314
160	0.003062694
17	NA
105	NA
22	NA
106	NA
51	0.004015347
89	0.002169406
85	0.003175757
142	0.003567777
165	NA
166	0.002822983
168	0.004609674
169	0.003841587
161	0.003198613
170	0.003540096
143	NA
150	0.005815557
151	0.002158789
187	NA
184	0.006069395
217	0.00372519
210	NA
173	0.003603779
172	0.003854043
203	0.003913594
205	0.005688243
204	0.003066566
207	NA
206	0.003160399
185	0.006581205
209	NA
297	0.002511269
296	NA
291	0.004822303
293	NA
289	0.003860128
281	0.002080555
288	0.00197029
336	0.003849156
326	NA
312	NA
310	NA
283	NA
270	NA
265	NA
264	0.00224558
232	0.002351782
280	0.002205605
252	NA
298	0.002242878
300	NA
284	NA
337	0.003564327
335	0.001938696
257	NA
279	0.002537912
245	0.001437113
263	NA
246	NA
274	0.001941545
233	NA
251	0.00108682
287	0.002752439
256	0.002004691
243	NA
262	0.002084207
141	NA
276	0.003073835
253	0.001654459
255	0.002128852
275	0.001458202
261	0.002670109
356	NA
353	0.003078592
352	0.003056662
350	0.002858239
269	NA
164	0.003458828
91	0.002315748
307	0.00148863
345	0.001632977
325	0.001732371
333	0.005473118
341	0.001702634
367	0.002434423
343	0.00190265
360	0.001757186
359	0.001488645
362	0.002146449
302	NA
342	NA
305	NA
370	0.00282231
349	NA
314	0.00419507
304	NA
330	NA
358	NA
306	NA
351	NA
363	NA
346	0.00290301
328	0.001865658
355	0.002466139
295	0.001192408
294	0.00289505
364	0.001866744
309	0.000524553
174	0.002098639
319	0.001285264
301	0.002199259
259	NA
219	0.002722319
371	0.001072062
318	0.002316078
361	0.002336694
347	NA
282	0.000827704
338	0.001311747
313	0.00343347
373	0.001328416
285	0.00093023
334	0.005417612
340	0.001535152
365	0.002559817
286	0.01087895
323	0.002035236
332	0.001814378
322	0.001328296
329	0.00105434
249	0.001236913
331	0.00143649
324	0.005705182
290	0.001608463
250	0.002494341
273	0.003983884
186	0.002271441
357	0.001128557
315	0.001828039
