ID	AveExpr	log2FC	Pvalue	FDR	Case	Control	des	substrates	direction	productions	subSystemes	genes
10FTHFtm	-4.07132367539761	-0.0102136456908974	0.927360804671618	0.992331289744284	-4.08 +/- 0.15	-4.07 +/- 0.3	10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion	10fthf[c]	<=>	10fthf[m]	Transport, mitochondrial	
2HBt2	8.67120490959762	-0.277670335356015	0.715819255223259	0.972557428300583	8.54 +/- 2.17	8.82 +/- 1.61	2-Hydroxybutyrate Symport with Proton	2hb[e] + h[e]	<=>	2hb[c] + h[c]	Transport, extracellular	SLC16A1;SLC16A3;SLC16A7
2HCO3_NAt	9.95094086301526	-0.0285450444029181	0.68586446452524	0.965440995969551	9.94 +/- 0.1	9.97 +/- 0	Bicarbonate Transport (Na/Hco3 1:2 Symport)	2.0 hco3[e] + na1[e]	<=>	2.0 hco3[c] + na1[c]	Transport, extracellular	SLC4A4;SLC4A5
34DHPHEt	7.55341292890003	-0.83018930405007	0.160877881529771	0.926470532105121	7.15 +/- 1.25	7.99 +/- 1.66	3, 4-Dihydroxy-L-Phenylalanine Transport	34dhphe[e]	<=>	34dhphe[c]	Transport, extracellular	SLC16A10
34DHPLACOX	-13.5107750693098	0.0471121022044425	0.927458835280834	0.992331289744284	-13.49 +/- 0.87	-13.54 +/- 1.65	3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase	34dhpac[c] + h2o[c] + nad[c]	->	2.0 h[c] + 34dhpha[c] + nadh[c]	Tyrosine metabolism	ALDH1A3;ALDH3A1;ALDH3B1;ALDH3B2
34DHPLACOX_NADP_	-14.0143083140842	-0.918427478294523	0.152435670004802	0.926470532105121	-14.46 +/- 1.53	-13.54 +/- 1.65	3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase	34dhpac[c] + h2o[c] + nadp[c]	<=>	2.0 h[c] + 34dhpha[c] + nadph[c]	Tyrosine metabolism	ALDH3A1;ALDH3B1;ALDH3B2
34DHXMANDACOX	-13.8555864140937	-0.523086466755109	0.383086344696486	0.932690333429439	-14.11 +/- 1.47	-13.58 +/- 1.54	3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase	34dhmald[c] + h2o[c] + nad[c]	->	2.0 h[c] + 34dhoxmand[c] + nadh[c]	Tyrosine metabolism	ALDH1A3;ALDH3A1;ALDH3B1
34DHXMANDACOX_NADP_	-14.6901481941796	-0.22139654633559	0.729438804895899	0.972557428300583	-14.8 +/- 1.61	-14.58 +/- 1.62	3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase	34dhmald[c] + h2o[c] + nadp[c]	<=>	2.0 h[c] + 34dhoxmand[c] + nadph[c]	Tyrosine metabolism	ALDH3B1;ALDH3B2
34HPPOR	-10.5096637018123	0.21616850986576	0.6377087981721	0.95007967939713	-10.41 +/- 1.18	-10.62 +/- 1.11	4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase	34hpp[c] + o2[c]	->	co2[c] + hgentis[c]	Tyrosine metabolism	HPD
35CGMPtn	-18.1466749718183	0.00697478255487383	0.961365113875736	0.992331289744284	-18.14 +/- 0.2	-18.15 +/- 0.42	35CGMP Nuclear Transport	35cgmp[c]	<=>	35cgmp[n]	Transport, nuclear	
3DSPHR	-14.2509129612795	0.097834575969646	0.434483378880017	0.932690333429439	-14.2 +/- 0.26	-14.3 +/- 0.28	3-Dehydrosphinganine Reductase	3dsphgn[c] + h[c] + nadph[c]	->	nadp[c] + sphgn[c]	Sphingolipid metabolism	KDSR
3HBCOAHLm	-9.20195041653516	-0.0682754801488841	0.338994788835399	0.926470532105121	-9.23 +/- 0.01	-9.17 +/- 0.11	3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial	3hibutcoa[m] + h2o[m]	->	3hmp[m] + coa[m] + h[m]	Valine, leucine, and isoleucine metabolism	
3HKYNAKGAT	-10.9838239014071	0.0881045636355964	0.568880193574427	0.932690333429439	-10.94 +/- 0.35	-11.03 +/- 0.36	3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase	akg[c] + hLkynr[c]	->	42A3HP24DB[c] + glu_L[c]	Tryptophan metabolism	AADAT;KYAT1
3HLYTCL	-12.3431499850017	0.612132720191331	0.247575772546793	0.926470532105121	-12.05 +/- 1.21	-12.66 +/- 1.42	3-Hydroxy-L-Tyrosine Carboxy-Lyase	34dhphe[c] + h[c]	->	co2[c] + dopa[c]	Tyrosine metabolism	DDC
3MOBt2im	-0.318908752915052	0.0228648607888006	0.937800482006887	0.992331289744284	-0.31 +/- 0.46	-0.33 +/- 0.93	3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport	3mob[c] + h[c]	->	3mob[m] + h[m]	Transport, mitochondrial	
3MOPt2im	-0.33311368540995	0.0818323209180276	0.769963541801647	0.98722187752446	-0.29 +/- 0.48	-0.38 +/- 0.86	3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport	3mop[c] + h[c]	->	3mop[m] + h[m]	Transport, mitochondrial	
3MOX4HOXPGALDOX	-14.5052348470192	0.0355748109772378	0.964201844291196	0.992331289744284	-14.49 +/- 1.82	-14.52 +/- 2.19	3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase	3m4hpga[c] + h2o[c] + nad[c]	->	2.0 h[c] + 3mox4hoxm[c] + nadh[c]	Tyrosine metabolism	ALDH1A3;ALDH3A1;ALDH3B1;ALDH3B2
3MOX4HOXPGALDOX_NADP_	-12.5875684288852	-0.19160957817293	0.44443412344262	0.932690333429439	-12.68 +/- 0.51	-12.49 +/- 0.7	3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase	3m4hpga[c] + h2o[c] + nadp[c]	<=>	2.0 h[c] + 3mox4hoxm[c] + nadph[c]	Tyrosine metabolism	ALDH1A3;ALDH3A1;ALDH3B1;ALDH3B2
3SALAASPm	-3.17550860398811	-0.821199319714365	0.0281246475665116	0.926470532105121	-3.57 +/- 0.55	-2.75 +/- 1.14	Cysteinesulfinate-Aspartate Mitochondrial Shuttle	3sala[m] + asp_L[c]	<=>	3sala[c] + asp_L[m]	Transport, mitochondrial	SLC25A12;SLC25A13
