subsystem	DAscore	DApvalue	fdr
Alanine and aspartate metabolism	-0.444444444444444	0	0
Pyrimidine catabolism	-0.333333333333333	0.001	0.00733333333333333
Aminosugar metabolism	-0.222222222222222	0.008	0.0403333333333333
Bile acid synthesis	-0.115384615384615	0.029	0.07975
Arginine and proline metabolism	-0.111111111111111	0.011	0.0403333333333333
Miscellaneous	-0.0735294117647059	0.027	0.07975
Glycine, serine, alanine, and threonine metabolism	-0.0416666666666667	0.103	0.133294117647059
Transport, nuclear	-0.0285714285714286	0.117	0.143
Transport, peroxisomal	-0.0138888888888889	0.233	0.244095238095238
Cholesterol metabolism	-0.00833333333333333	0.228	0.244095238095238
Transport, endoplasmic reticular	0.0128205128205128	0.254	0.254
Transport, mitochondrial	0.0150753768844221	0.155	0.179473684210526
Glycolysis/gluconeogenesis	0.032258064516129	0.088	0.132
Fatty acid synthesis	0.0373831775700935	0.058	0.11
Fatty acid oxidation	0.0375586854460094	0.096	0.132
Glycerophospholipid metabolism	0.0384615384615385	0.078	0.132
Tyrosine metabolism	0.0416666666666667	0.093	0.132
Exchange/demand reaction	0.0476190476190476	0.037	0.0904444444444445
Purine catabolism	0.0769230769230769	0.06	0.11
NAD metabolism	0.0833333333333333	0.045	0.099
Fatty acid beta oxidation	0.115384615384615	0.01	0.0403333333333333
Pentose phosphate pathway	0.583333333333333	0	0
