Protein	Description	Gene	H13_1	H13_2	H16_1	H16_2	H19_1	H19_2	H22_1	H22_2	H25_1	H25_2	H28_1	H28_2	H31_1	H31_2	H34_1	H34_2	H37_1	H37_2
A0A023I7F4	Cytochrome b	CYTB	60372.984375	58853.6953125	47846.9296875	21178.34765625	44668.43359375	50108.1171875	44232.953125	61610.8359375	45444.3359375	41281.6171875	39962.53125	45852.31640625	36786.53125	27246.64453125	44956.20703125	46798.09375	54443.46484375	46445.4453125
A0A023I7H5	ATP synthase subunit a	ATP6	728337.6875	847401.25	1048683.875	747981	779582.0625	779097.375	582587.5	695009.9375	765367.5	687986.9375	811693.3125	923608.5625	830032.75	641335.625	996084.875	964903.125	1027676	978309.0625
A0A023I7J4	NADH-ubiquinone oxidoreductase chain 2	ND2	116686.6484375	112308.1953125	127098.7890625	125759.1953125	114469.9765625	94843.2265625	94574.9296875	96318.03125	100813.5078125	116519.8828125	125103.0234375	103619.609375	76192.3828125	95342.65625	88470.9453125	120390.609375	90775.34375	108242.21875
A0A023I7N8	NADH-ubiquinone oxidoreductase chain 5	ND5	44313.3828125	46842.52734375	59483.14453125	66690.3515625	69387.796875	59578.65625	45697.5	44235.2734375	57180.11328125	62640.25	52997.265625	53149.6015625	48614.54296875	48097.27734375	58329.48046875	62792.0625	49706.90234375	53102.61328125
A0A023I7W4	NADH-ubiquinone oxidoreductase chain 6	ND6	70489.984375	76329.921875	71519.4140625	70771	64796.4375	66371.3046875	55984.54296875	30968.3203125	64739.109375	53508.0859375	65214.265625	65232.703125	48127.2265625	44859.640625	66199.171875	58500.1171875	62626.171875	36948.06640625
A0A023I905	NADH-ubiquinone oxidoreductase chain 4	ND4	70266.828125	60465.28125	41166.03125	48656.40625	46467.921875	68514.2265625	52562.55859375	32540.787109375	41059.36328125	46011.5	37298.18359375	50043.421875	51163.046875	32921.88671875	121985.203125	41397.7109375	35418.4765625	47378.33203125
A0A023Q4K2	Cytochrome c oxidase subunit 3	COX3	0	394.163940429688	1295.89770507813	12412.4208984375	8052.2119140625	8941.4111328125	2636.39404296875	466.138366699219	0	17218.638671875	535.349975585938	8839.5244140625	12943.685546875	8736.1455078125	0	18711.21875	8805.5	7570.5830078125
A0A023QSC6	NADH-ubiquinone oxidoreductase chain 3	ND3	168356.28125	196045.953125	122750.375	170685.71875	165023.375	76536.765625	128972.5078125	102540.4765625	114951.828125	102708.171875	102761.734375	97267.203125	93846.7578125	101982.0625	66371.34375	84509.125	100283.5078125	91515.9609375
A0A023QZ89	ATP synthase protein 8	ATP8	757118.375	1271617.75	935535.1875	1319869.75	906260.0625	775963.0625	874006.125	775168.125	666275.375	823401.4375	1027558.4375	845138.625	1401137	849955.9375	1197793.75	1136721.375	1208124	1064762.5
A0A023T787	RNA-binding protein 8A	RBM8	387915.75	345732.875	388401.3125	408426.8125	419668.5625	408251.25	398222.125	393644.40625	378949.25	365532.59375	393915.3125	386281.78125	329667.4375	346821.0625	372826.3125	319716.875	323686.71875	306444.09375
